Timestamp:      Type:

139837.742068: funcgraph_entry:                   |  do_page_fault() {
139837.742068: funcgraph_entry:                   |    __do_page_fault() {
139837.742068: funcgraph_entry:        0.130 us   |      down_read_trylock();
139837.742068: funcgraph_entry:                   |      _cond_resched() {
139837.742068: funcgraph_entry:        0.126 us   |        rcu_all_qs();
139837.742069: funcgraph_exit:         0.381 us   |      }
139837.742069: funcgraph_entry:                   |      find_vma() {
139837.742069: funcgraph_entry:        0.183 us   |        vmacache_find();
139837.742069: funcgraph_exit:         0.441 us   |      }
139837.742069: funcgraph_entry:                   |      handle_mm_fault() {
139837.742069: funcgraph_entry:        0.130 us   |        mem_cgroup_from_task();
139837.742070: funcgraph_entry:        0.131 us   |        __count_memcg_events();
139837.742070: funcgraph_entry:                   |        __handle_mm_fault() {
139837.742070: funcgraph_entry:        0.133 us   |          is_vma_temporary_stack();
139837.742070: funcgraph_entry:                   |          do_fault() {
139837.742070: funcgraph_entry:                   |            pte_alloc_one() {
139837.742071: funcgraph_entry:                   |              alloc_pages_current() {
139837.742071: funcgraph_entry:        0.128 us   |                get_task_policy.part.0();
139837.742071: funcgraph_entry:        0.129 us   |                policy_nodemask();
139837.742071: funcgraph_entry:        0.142 us   |                policy_node();
139837.742072: funcgraph_entry:                   |                __alloc_pages_nodemask() {
139837.742072: funcgraph_entry:                   |                  _cond_resched() {
139837.742072: funcgraph_entry:        0.130 us   |                    rcu_all_qs();
139837.742072: funcgraph_exit:         0.389 us   |                  }
139837.742072: funcgraph_entry:        0.131 us   |                  should_fail_alloc_page();
139837.742072: funcgraph_entry:                   |                  get_page_from_freelist() {
139837.742073: funcgraph_entry:        0.134 us   |                    __inc_numa_state();
139837.742073: funcgraph_entry:        0.132 us   |                    __inc_numa_state();
139837.742073: funcgraph_entry:                   |                    prep_new_page() {
139837.742073: funcgraph_entry:        0.132 us   |                      kernel_poison_pages();
139837.742074: funcgraph_entry:        0.129 us   |                      page_poisoning_enabled();
139837.742074: funcgraph_entry:        0.128 us   |                      page_poisoning_enabled();
139837.742074: funcgraph_exit:         1.111 us   |                    }
139837.742074: funcgraph_exit:         1.981 us   |                  }
139837.742075: funcgraph_entry:                   |                  __memcg_kmem_charge() {
139837.742075: funcgraph_entry:        0.137 us   |                    get_mem_cgroup_from_mm();
139837.742075: funcgraph_entry:                   |                    __memcg_kmem_charge_memcg() {
139837.742075: funcgraph_entry:        0.145 us   |                      try_charge();
139837.742075: funcgraph_entry:                   |                      page_counter_try_charge() {
139837.742076: funcgraph_entry:        0.140 us   |                        propagate_protected_usage();
139837.742076: funcgraph_entry:        0.126 us   |                        propagate_protected_usage();
139837.742076: funcgraph_entry:        0.128 us   |                        propagate_protected_usage();
139837.742076: funcgraph_entry:        0.129 us   |                        propagate_protected_usage();
139837.742077: funcgraph_exit:         1.242 us   |                      }
139837.742077: funcgraph_exit:         1.775 us   |                    }
139837.742077: funcgraph_exit:         2.295 us   |                  }
139837.742077: funcgraph_exit:         5.461 us   |                }
139837.742077: funcgraph_exit:         6.520 us   |              }
139837.742077: funcgraph_entry:        0.138 us   |              inc_zone_page_state();
139837.742078: funcgraph_exit:         7.028 us   |            }
139837.742078: funcgraph_entry:        0.243 us   |            filemap_map_pages();
139837.742078: funcgraph_entry:                   |            __do_fault() {
139837.742078: funcgraph_entry:                   |              ext4_filemap_fault() {
139837.742078: funcgraph_entry:                   |                down_read() {
139837.742078: funcgraph_entry:                   |                  _cond_resched() {
139837.742079: funcgraph_entry:        0.127 us   |                    rcu_all_qs();
139837.742079: funcgraph_exit:         0.389 us   |                  }
139837.742079: funcgraph_exit:         0.649 us   |                }
139837.742079: funcgraph_entry:                   |                filemap_fault() {
139837.742079: funcgraph_entry:                   |                  pagecache_get_page() {
139837.742079: funcgraph_entry:        0.173 us   |                    find_get_entry();
139837.742080: funcgraph_exit:         0.441 us   |                  }
139837.742080: funcgraph_entry:        0.132 us   |                  mem_cgroup_from_task();
139837.742080: funcgraph_entry:        0.146 us   |                  __count_memcg_events();
139837.742080: funcgraph_entry:        0.126 us   |                  up_read();
139837.742081: funcgraph_entry:                   |                  __do_page_cache_readahead() {
139837.742081: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742081: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742081: funcgraph_entry:        0.129 us   |                        get_task_policy.part.0();
139837.742081: funcgraph_entry:        0.132 us   |                        policy_nodemask();
139837.742082: funcgraph_entry:        0.129 us   |                        policy_node();
139837.742082: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742082: funcgraph_entry:                   |                          _cond_resched() {
139837.742082: funcgraph_entry:        0.129 us   |                            rcu_all_qs();
139837.742082: funcgraph_exit:         0.380 us   |                          }
139837.742083: funcgraph_entry:        0.128 us   |                          should_fail_alloc_page();
139837.742083: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742083: funcgraph_entry:        0.132 us   |                            __inc_numa_state();
139837.742083: funcgraph_entry:        0.131 us   |                            __inc_numa_state();
139837.742084: funcgraph_entry:                   |                            prep_new_page() {
139837.742084: funcgraph_entry:        0.129 us   |                              kernel_poison_pages();
139837.742084: funcgraph_entry:        0.129 us   |                              page_poisoning_enabled();
139837.742084: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
139837.742085: funcgraph_exit:         1.082 us   |                            }
139837.742085: funcgraph_exit:         1.927 us   |                          }
139837.742085: funcgraph_exit:         3.082 us   |                        }
139837.742085: funcgraph_exit:         4.122 us   |                      }
139837.742085: funcgraph_exit:         4.379 us   |                    }
139837.742085: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742085: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742086: funcgraph_entry:        0.133 us   |                        get_task_policy.part.0();
139837.742086: funcgraph_entry:        0.132 us   |                        policy_nodemask();
139837.742086: funcgraph_entry:        0.130 us   |                        policy_node();
139837.742086: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742087: funcgraph_entry:                   |                          _cond_resched() {
139837.742087: funcgraph_entry:        0.130 us   |                            rcu_all_qs();
139837.742087: funcgraph_exit:         0.385 us   |                          }
139837.742087: funcgraph_entry:        0.129 us   |                          should_fail_alloc_page();
