Timestamp:  Type:

66949.782058: funcgraph_entry:                   |  do_page_fault() {
66949.782058: funcgraph_entry:                   |    __do_page_fault() {
66949.782058: funcgraph_entry:        0.101 us   |      down_read_trylock();
66949.782059: funcgraph_entry:                   |      _cond_resched() {
66949.782059: funcgraph_entry:        0.100 us   |        rcu_all_qs();
66949.782059: funcgraph_exit:         0.298 us   |      }
66949.782059: funcgraph_entry:                   |      find_vma() {
66949.782059: funcgraph_entry:        0.139 us   |        vmacache_find();
66949.782059: funcgraph_entry:        0.105 us   |        vmacache_update();
66949.782060: funcgraph_exit:         0.581 us   |      }
66949.782060: funcgraph_entry:                   |      handle_mm_fault() {
66949.782060: funcgraph_entry:        0.101 us   |        mem_cgroup_from_task();
66949.782060: funcgraph_entry:        0.101 us   |        __count_memcg_events();
66949.782060: funcgraph_entry:                   |        __handle_mm_fault() {
66949.782061: funcgraph_entry:        0.100 us   |          is_vma_temporary_stack();
66949.782061: funcgraph_entry:                   |          do_fault() {
66949.782061: funcgraph_entry:                   |            pte_alloc_one() {
66949.782061: funcgraph_entry:                   |              alloc_pages_current() {
66949.782062: funcgraph_entry:        0.112 us   |                get_task_policy.part.0();
66949.782062: funcgraph_entry:        0.101 us   |                policy_nodemask();
66949.782062: funcgraph_entry:        0.101 us   |                policy_node();
66949.782062: funcgraph_entry:                   |                __alloc_pages_nodemask() {
66949.782062: funcgraph_entry:                   |                  _cond_resched() {
66949.782062: funcgraph_entry:        0.098 us   |                    rcu_all_qs();
66949.782063: funcgraph_exit:         0.297 us   |                  }
66949.782063: funcgraph_entry:        0.102 us   |                  should_fail_alloc_page();
66949.782063: funcgraph_entry:                   |                  get_page_from_freelist() {
66949.782063: funcgraph_entry:        0.178 us   |                    __inc_numa_state();
66949.782063: funcgraph_entry:        0.100 us   |                    __inc_numa_state();
66949.782063: funcgraph_entry:                   |                    prep_new_page() {
66949.782064: funcgraph_entry:        0.100 us   |                      kernel_poison_pages();
66949.782064: funcgraph_entry:        0.102 us   |                      page_poisoning_enabled();
66949.782064: funcgraph_entry:        0.102 us   |                      page_poisoning_enabled();
66949.782064: funcgraph_exit:         0.889 us   |                    }
66949.782064: funcgraph_exit:         1.634 us   |                  }
66949.782065: funcgraph_entry:                   |                  __memcg_kmem_charge() {
66949.782065: funcgraph_entry:        0.115 us   |                    get_mem_cgroup_from_mm();
66949.782065: funcgraph_entry:                   |                    __memcg_kmem_charge_memcg() {
66949.782065: funcgraph_entry:        0.125 us   |                      try_charge();
66949.782065: funcgraph_entry:                   |                      page_counter_try_charge() {
66949.782065: funcgraph_entry:        0.102 us   |                        propagate_protected_usage();
66949.782066: funcgraph_entry:        0.100 us   |                        propagate_protected_usage();
66949.782066: funcgraph_entry:        0.101 us   |                        propagate_protected_usage();
66949.782066: funcgraph_entry:        0.100 us   |                        propagate_protected_usage();
66949.782066: funcgraph_exit:         1.026 us   |                      }
66949.782066: funcgraph_exit:         1.454 us   |                    }
66949.782066: funcgraph_exit:         1.871 us   |                  }
66949.782067: funcgraph_exit:         4.439 us   |                }
66949.782067: funcgraph_exit:         5.327 us   |              }
66949.782067: funcgraph_entry:        0.106 us   |              inc_zone_page_state();
66949.782067: funcgraph_exit:         5.733 us   |            }
66949.782067: funcgraph_entry:        0.152 us   |            filemap_map_pages();
66949.782067: funcgraph_entry:                   |            __do_fault() {
66949.782068: funcgraph_entry:                   |              shmem_fault() {
66949.782068: funcgraph_entry:                   |                shmem_getpage_gfp() {
66949.782068: funcgraph_entry:                   |                  find_lock_entry() {
66949.782068: funcgraph_entry:        0.120 us   |                    find_get_entry();
66949.782068: funcgraph_exit:         0.328 us   |                  }
66949.782069: funcgraph_entry:                   |                  shmem_alloc_and_acct_page() {
66949.782069: funcgraph_entry:                   |                    shmem_alloc_page() {
66949.782069: funcgraph_entry:                   |                      shmem_pseudo_vma_init() {
66949.782069: funcgraph_entry:        0.107 us   |                        mpol_shared_policy_lookup();
66949.782070: funcgraph_exit:         0.380 us   |                      }
