Timestamp:      Type:

402.191267: funcgraph_entry:                   |  __do_page_fault() {
402.191267: funcgraph_entry:        0.104 us   |    down_read_trylock();
402.191267: funcgraph_entry:                   |    _cond_resched() {
402.191267: funcgraph_entry:        0.102 us   |      rcu_all_qs();
402.191267: funcgraph_exit:         0.303 us   |    }
402.191268: funcgraph_entry:                   |    find_vma() {
402.191268: funcgraph_entry:        0.136 us   |      vmacache_find();
402.191268: funcgraph_exit:         0.335 us   |    }
402.191268: funcgraph_entry:                   |    handle_mm_fault() {
402.191268: funcgraph_entry:        0.104 us   |      mem_cgroup_from_task();
402.191268: funcgraph_entry:                   |      __handle_mm_fault() {
402.191268: funcgraph_entry:        0.103 us   |        is_vma_temporary_stack();
402.191269: funcgraph_entry:                   |        nova_dax_huge_fault() {
402.191269: funcgraph_entry:                   |          dax_iomap_fault() {
402.191269: funcgraph_entry:        0.114 us   |            dax_iomap_pmd_fault.isra.44();
402.191269: funcgraph_exit:         0.326 us   |          }
402.191269: funcgraph_exit:         0.529 us   |        }
402.191269: funcgraph_entry:                   |        __do_fault() {
402.191269: funcgraph_entry:                   |          pte_alloc_one() {
402.191269: funcgraph_entry:                   |            alloc_pages_current() {
402.191270: funcgraph_entry:        0.101 us   |              get_task_policy.part.35();
402.191270: funcgraph_entry:        0.102 us   |              policy_nodemask();
402.191270: funcgraph_entry:        0.100 us   |              policy_node();
402.191270: funcgraph_entry:                   |              __alloc_pages_nodemask() {
402.191270: funcgraph_entry:                   |                _cond_resched() {
402.191270: funcgraph_entry:        0.116 us   |                  rcu_all_qs();
402.191271: funcgraph_exit:         0.314 us   |                }
402.191271: funcgraph_entry:        0.102 us   |                should_fail_alloc_page();
402.191271: funcgraph_entry:                   |                get_page_from_freelist() {
402.191271: funcgraph_entry:        0.104 us   |                  __inc_numa_state();
402.191271: funcgraph_entry:        0.104 us   |                  __inc_numa_state();
402.191271: funcgraph_entry:                   |                  prep_new_page() {
402.191272: funcgraph_entry:        0.103 us   |                    kernel_poison_pages();
402.191272: funcgraph_entry:        0.103 us   |                    page_poisoning_enabled();
402.191272: funcgraph_exit:         0.555 us   |                  }
402.191272: funcgraph_exit:         1.179 us   |                }
402.191272: funcgraph_entry:                   |                __memcg_kmem_charge() {
402.191272: funcgraph_entry:        0.103 us   |                  get_mem_cgroup_from_mm();
402.191272: funcgraph_entry:                   |                  __memcg_kmem_charge_memcg() {
402.191273: funcgraph_entry:        0.111 us   |                    try_charge();
402.191273: funcgraph_entry:                   |                    page_counter_try_charge() {
402.191273: funcgraph_entry:        0.102 us   |                      propagate_protected_usage();
402.191273: funcgraph_entry:        0.100 us   |                      propagate_protected_usage();
402.191273: funcgraph_entry:        0.103 us   |                      propagate_protected_usage();
402.191273: funcgraph_entry:        0.103 us   |                      propagate_protected_usage();
402.191274: funcgraph_exit:         0.939 us   |                    }
402.191274: funcgraph_exit:         1.349 us   |                  }
402.191274: funcgraph_exit:         1.751 us   |                }
402.191274: funcgraph_exit:         3.849 us   |              }
402.191274: funcgraph_exit:         4.652 us   |            }
402.191274: funcgraph_entry:        0.120 us   |            inc_zone_page_state();
402.191274: funcgraph_exit:         5.062 us   |          }
402.191275: funcgraph_entry:                   |          nova_dax_fault() {
402.191275: funcgraph_entry:                   |            nova_dax_huge_fault() {
402.191275: funcgraph_entry:                   |              dax_iomap_fault() {
402.191275: funcgraph_entry:                   |                dax_iomap_pte_fault.isra.41() {
402.191275: funcgraph_entry:                   |                  grab_mapping_entry() {
402.191275: funcgraph_entry:        0.104 us   |                    _raw_spin_lock_irq();
402.191275: funcgraph_entry:        0.124 us   |                    get_unlocked_entry();
402.191276: funcgraph_entry:                   |                    dax_lock_entry() {
402.191276: funcgraph_entry:                   |                      kmem_cache_alloc() {
402.191276: funcgraph_entry:        0.100 us   |                        should_failslab();
