Timestamp:     Type:

139397.325856: funcgraph_entry:                   |  do_page_fault() {
139397.325856: funcgraph_entry:                   |    __do_page_fault() {
139397.325856: funcgraph_entry:        0.120 us   |      down_read_trylock();
139397.325857: funcgraph_entry:                   |      _cond_resched() {
139397.325857: funcgraph_entry:        0.128 us   |        rcu_all_qs();
139397.325857: funcgraph_exit:         0.368 us   |      }
139397.325857: funcgraph_entry:                   |      find_vma() {
139397.325857: funcgraph_entry:        0.121 us   |        vmacache_find();
139397.325857: funcgraph_exit:         0.368 us   |      }
139397.325858: funcgraph_entry:                   |      handle_mm_fault() {
139397.325858: funcgraph_entry:        0.197 us   |        mem_cgroup_from_task();
139397.325858: funcgraph_entry:                   |        smp_apic_timer_interrupt() {
139397.325858: funcgraph_entry:                   |          irq_enter() {
139397.325859: funcgraph_entry:        0.184 us   |            rcu_irq_enter();
139397.325859: funcgraph_exit:         0.555 us   |          }
139397.325859: funcgraph_entry:                   |          hrtimer_interrupt() {
139397.325860: funcgraph_entry:        0.165 us   |            _raw_spin_lock_irqsave();
139397.325860: funcgraph_entry:        0.224 us   |            ktime_get_update_offsets_now();
139397.325861: funcgraph_entry:                   |            __hrtimer_run_queues() {
139397.325861: funcgraph_entry:        0.343 us   |              __remove_hrtimer();
139397.325861: funcgraph_entry:        0.207 us   |              _raw_spin_unlock_irqrestore();
139397.325862: funcgraph_entry:                   |              tick_sched_timer() {
139397.325862: funcgraph_entry:        0.196 us   |                ktime_get();
139397.325862: funcgraph_entry:                   |                tick_sched_do_timer() {
139397.325863: funcgraph_entry:                   |                  tick_do_update_jiffies64.part.0() {
139397.325863: funcgraph_entry:        0.203 us   |                    _raw_spin_lock();
139397.325863: funcgraph_entry:                   |                    do_timer() {
139397.325863: funcgraph_entry:        0.200 us   |                      calc_global_load();
139397.325864: funcgraph_exit:         0.756 us   |                    }
139397.325864: funcgraph_entry:                   |                    update_wall_time() {
139397.325864: funcgraph_entry:                   |                      timekeeping_advance() {
139397.325865: funcgraph_entry:        0.217 us   |                        _raw_spin_lock_irqsave();
139397.325865: funcgraph_entry:        0.199 us   |                        ntp_tick_length();
139397.325865: funcgraph_entry:        0.187 us   |                        ntp_tick_length();
139397.325866: funcgraph_entry:                   |                        timekeeping_update() {
139397.325866: funcgraph_entry:        0.193 us   |                          ntp_get_next_leap();
139397.325867: funcgraph_entry:        0.296 us   |                          update_vsyscall();
139397.325867: funcgraph_entry:                   |                          raw_notifier_call_chain() {
139397.325867: funcgraph_entry:                   |                            notifier_call_chain() {
139397.325868: funcgraph_entry:        0.256 us   |                              pvclock_gtod_notify();
139397.325868: funcgraph_exit:         1.078 us   |                            }
139397.325869: funcgraph_exit:         1.446 us   |                          }
139397.325869: funcgraph_entry:        0.210 us   |                          update_fast_timekeeper();
139397.325869: funcgraph_entry:        0.215 us   |                          update_fast_timekeeper();
139397.325869: funcgraph_exit:         3.449 us   |                        }
139397.325870: funcgraph_entry:        0.200 us   |                        _raw_spin_unlock_irqrestore();
139397.325870: funcgraph_exit:         5.756 us   |                      }
139397.325870: funcgraph_exit:         6.177 us   |                    }
139397.325870: funcgraph_exit:         7.875 us   |                  }
139397.325871: funcgraph_exit:         8.268 us   |                }
139397.325871: funcgraph_entry:                   |                tick_sched_handle() {
139397.325871: funcgraph_entry:                   |                  update_process_times() {
139397.325871: funcgraph_entry:                   |                    account_process_tick() {
139397.325871: funcgraph_entry:                   |                      account_system_time() {
139397.325872: funcgraph_entry:                   |                        account_system_index_time() {
139397.325872: funcgraph_entry:        0.268 us   |                          cpuacct_account_field();
139397.325872: funcgraph_entry:                   |                          __cgroup_account_cputime_field() {
139397.325872: funcgraph_entry:        0.243 us   |                            cgroup_rstat_updated();
139397.325873: funcgraph_exit:         0.652 us   |                          }
139397.325873: funcgraph_entry:                   |                          acct_account_cputime() {
139397.325873: funcgraph_entry:        0.436 us   |                            __acct_update_integrals();
139397.325874: funcgraph_exit:         0.902 us   |                          }
139397.325874: funcgraph_exit:         2.591 us   |                        }
139397.325874: funcgraph_exit:         2.969 us   |                      }
139397.325875: funcgraph_exit:         3.369 us   |                    }
139397.325875: funcgraph_entry:                   |                    run_local_timers() {
139397.325875: funcgraph_entry:        0.143 us   |                      hrtimer_run_queues();
139397.325875: funcgraph_entry:        0.199 us   |                      raise_softirq();
139397.325876: funcgraph_exit:         0.862 us   |                    }
139397.325876: funcgraph_entry:                   |                    rcu_sched_clock_irq() {
139397.325876: funcgraph_entry:        0.157 us   |                      rcu_segcblist_ready_cbs();
139397.325876: funcgraph_exit:         0.622 us   |                    }
139397.325877: funcgraph_entry:                   |                    scheduler_tick() {
139397.325877: funcgraph_entry:        0.237 us   |                      _raw_spin_lock();
139397.325877: funcgraph_entry:        0.212 us   |                      update_rq_clock();
139397.325878: funcgraph_entry:                   |                      task_tick_fair() {
139397.325878: funcgraph_entry:                   |                        update_curr() {
139397.325878: funcgraph_entry:        0.195 us   |                          update_min_vruntime();
139397.325879: funcgraph_entry:        0.233 us   |                          cpuacct_charge();
139397.325879: funcgraph_entry:                   |                          __cgroup_account_cputime() {
139397.325879: funcgraph_entry:        0.215 us   |                            cgroup_rstat_updated();
139397.325880: funcgraph_exit:         0.575 us   |                          }
139397.325880: funcgraph_exit:         1.803 us   |                        }
139397.325880: funcgraph_entry:                   |                        __update_load_avg_se() {
139397.325880: funcgraph_entry:        0.181 us   |                          __accumulate_pelt_segments();
139397.325881: funcgraph_exit:         0.554 us   |                        }
139397.325881: funcgraph_entry:                   |                        __update_load_avg_cfs_rq() {
139397.325881: funcgraph_entry:        0.213 us   |                          __accumulate_pelt_segments();
139397.325881: funcgraph_exit:         0.594 us   |                        }
139397.325882: funcgraph_entry:        0.190 us   |                        update_cfs_group();
139397.325882: funcgraph_entry:        0.222 us   |                        hrtimer_active();
139397.325882: funcgraph_entry:                   |                        update_curr() {
139397.325883: funcgraph_entry:        0.226 us   |                          __calc_delta();
139397.325883: funcgraph_entry:        0.201 us   |                          update_min_vruntime();
139397.325884: funcgraph_exit:         1.143 us   |                        }
139397.325884: funcgraph_entry:                   |                        __update_load_avg_se() {
139397.325884: funcgraph_entry:        0.202 us   |                          __accumulate_pelt_segments();
139397.325884: funcgraph_exit:         0.645 us   |                        }
139397.325885: funcgraph_entry:                   |                        __update_load_avg_cfs_rq() {
139397.325885: funcgraph_entry:        0.197 us   |                          __accumulate_pelt_segments();
139397.325885: funcgraph_exit:         0.634 us   |                        }
139397.325885: funcgraph_entry:                   |                        update_cfs_group() {
139397.325886: funcgraph_entry:                   |                          reweight_entity() {
139397.325886: funcgraph_entry:        0.138 us   |                            update_curr();
139397.325886: funcgraph_entry:        0.126 us   |                            account_entity_dequeue();
139397.325886: funcgraph_entry:        0.122 us   |                            account_entity_enqueue();
139397.325887: funcgraph_exit:         1.041 us   |                          }
139397.325887: funcgraph_exit:         1.349 us   |                        }
139397.325887: funcgraph_entry:        0.124 us   |                        hrtimer_active();
139397.325887: funcgraph_exit:         9.480 us   |                      }
139397.325887: funcgraph_entry:        0.125 us   |                      calc_global_load_tick();
139397.325888: funcgraph_entry:                   |                      trigger_load_balance() {
139397.325888: funcgraph_entry:        0.122 us   |                        nohz_balance_exit_idle();
139397.325888: funcgraph_exit:         0.369 us   |                      }
139397.325888: funcgraph_exit:       + 11.611 us  |                    }
139397.325888: funcgraph_entry:        0.125 us   |                    run_posix_cpu_timers();
139397.325889: funcgraph_exit:       + 17.668 us  |                  }
139397.325889: funcgraph_entry:        0.123 us   |                  profile_tick();
139397.325889: funcgraph_exit:       + 18.249 us  |                }
139397.325889: funcgraph_entry:        0.121 us   |                hrtimer_forward();
139397.325889: funcgraph_exit:       + 27.632 us  |              }
139397.325890: funcgraph_entry:        0.122 us   |              _raw_spin_lock_irq();
139397.325890: funcgraph_entry:        0.292 us   |              enqueue_hrtimer();
139397.325890: funcgraph_exit:       + 29.609 us  |            }
139397.325890: funcgraph_entry:                   |            __hrtimer_get_next_event() {
139397.325890: funcgraph_entry:        0.123 us   |              __hrtimer_next_event_base();
139397.325891: funcgraph_entry:        0.159 us   |              __hrtimer_next_event_base();
139397.325891: funcgraph_exit:         0.650 us   |            }
139397.325891: funcgraph_entry:        0.138 us   |            _raw_spin_unlock_irqrestore();
139397.325891: funcgraph_entry:                   |            tick_program_event() {
139397.325892: funcgraph_entry:                   |              clockevents_program_event() {
139397.325892: funcgraph_entry:        0.159 us   |                ktime_get();
139397.325892: funcgraph_entry:        0.184 us   |                lapic_next_deadline();
139397.325892: funcgraph_exit:         0.741 us   |              }
139397.325892: funcgraph_exit:         0.996 us   |            }
139397.325892: funcgraph_exit:       + 33.059 us  |          }
139397.325893: funcgraph_entry:                   |          irq_exit() {
139397.325893: funcgraph_entry:        0.190 us   |            ksoftirqd_running();
139397.325893: funcgraph_entry:                   |            __do_softirq() {
139397.325893: funcgraph_entry:                   |              run_timer_softirq() {
139397.325893: funcgraph_entry:        0.124 us   |                _raw_spin_lock_irq();
139397.325894: funcgraph_entry:        0.176 us   |                _raw_spin_lock_irq();
139397.325894: funcgraph_exit:         0.683 us   |              }
139397.325894: funcgraph_exit:         1.003 us   |            }
139397.325894: funcgraph_entry:        0.134 us   |            idle_cpu();
139397.325894: funcgraph_entry:        0.148 us   |            rcu_irq_exit();
139397.325895: funcgraph_exit:         2.105 us   |          }
139397.325895: funcgraph_exit:       + 36.675 us  |        }
139397.325895: funcgraph_entry:        0.151 us   |        __count_memcg_events();
139397.325895: funcgraph_entry:                   |        __handle_mm_fault() {
139397.325896: funcgraph_entry:        0.140 us   |          is_vma_temporary_stack();
139397.325896: funcgraph_entry:                   |          do_fault() {
139397.325896: funcgraph_entry:                   |            pte_alloc_one() {
